epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1243,2.45091,7.717,0.00559,0.52857,0.53467,0.4749,0.14042,2.52536,5.17295,0.00762,0.000543587,0.000543587,0.000543587
2,47.523,2.25787,5.03649,0.00493,0.51217,0.54492,0.43124,0.12473,2.4601,5.06736,0.00723,0.00108837,0.00108837,0.00108837
3,63.0358,2.21382,4.99674,0.00482,0.49676,0.56319,0.5153,0.17004,2.31655,5.13189,0.007,0.00162215,0.00162215,0.00162215
4,79.2795,2.17331,4.64467,0.00468,0.5829,0.6127,0.55439,0.17866,2.35736,4.54236,0.00714,0.00161749,0.00161749,0.00161749
5,95.8155,2.19166,4.63879,0.00481,0.61734,0.61137,0.57077,0.19403,2.28175,4.39779,0.00673,0.00160099,0.00160099,0.00160099
6,111.902,2.14389,4.51079,0.00468,0.64188,0.60056,0.58767,0.20459,2.22373,4.36375,0.00655,0.00158448,0.00158448,0.00158448
7,128.076,2.15835,4.41955,0.00458,0.61171,0.5797,0.56585,0.17885,2.32338,4.58885,0.00695,0.00156798,0.00156798,0.00156798
8,144.128,2.12751,4.34044,0.00462,0.6342,0.60594,0.61607,0.21431,2.27096,4.17226,0.00679,0.00155148,0.00155148,0.00155148
9,160.47,2.113,4.29418,0.0046,0.63832,0.60597,0.63268,0.22195,2.23079,4.18869,0.00658,0.00153497,0.00153497,0.00153497
10,176.665,2.09872,4.30585,0.00451,0.64123,0.61849,0.62572,0.21158,2.23387,4.28452,0.0065,0.00151847,0.00151847,0.00151847
11,192.907,2.08414,4.24295,0.00447,0.62759,0.63086,0.65072,0.23323,2.17301,4.17127,0.00632,0.00150197,0.00150197,0.00150197
12,208.999,2.08502,4.26575,0.00447,0.65337,0.62171,0.65855,0.2347,2.18337,4.12602,0.00631,0.00148546,0.00148546,0.00148546
13,225.341,2.07119,4.09913,0.00447,0.66015,0.60275,0.65209,0.23367,2.17965,3.97884,0.00635,0.00146896,0.00146896,0.00146896
14,241.711,2.07987,4.04246,0.00437,0.67784,0.60505,0.6639,0.2392,2.15762,4.11027,0.00625,0.00145246,0.00145246,0.00145246
15,257.971,2.04309,4.05813,0.00432,0.61786,0.61424,0.63784,0.21788,2.24342,4.16549,0.00659,0.00143595,0.00143595,0.00143595
16,273.968,2.02255,4.00799,0.00428,0.6812,0.62032,0.67548,0.25133,2.16931,3.82743,0.00632,0.00141945,0.00141945,0.00141945
17,290.63,1.99969,3.8761,0.00425,0.68665,0.62038,0.65995,0.23755,2.15915,4.08524,0.00621,0.00140295,0.00140295,0.00140295
